ID,price
3735,200
3736,200
3737,200
3738,200
3739,200
3740,200
3741,200
3742,200
3743,200
3744,200
3745,200
3746,200
3747,200
3748,200
3749,200
3750,200
3751,200
3752,200
3753,200
3754,200
3755,200
3756,200
3757,200
3758,200
3759,200
3760,200
3761,200
3762,200
3763,200
3764,200
3765,200
3766,200
3767,200
3768,200
3769,200
3770,200
3771,200
3772,200
3773,200
3774,200
3775,200
3776,200
3777,200
3778,200
3779,200
3780,200
3781,200
3782,200
3783,200
3784,200
3785,200
3786,200
3787,200
3788,200
3789,200
3790,200
3791,200
3792,200
3793,200
3794,200
3795,200
3796,200
3797,200
3798,200
3799,200
3800,200
3801,200
3802,200
3803,200
3804,200
3805,200
3806,200
3807,200
3808,200
3809,200
3810,200
3811,200
3812,200
3813,200
3814,200
3815,200
3816,200
3817,200
3818,200
3819,200
3820,200
3821,200
3822,200
3823,200
3824,200
3825,200
3826,200
3827,200
3828,200
3829,200
3830,200
3831,200
3832,200
3833,200
3834,200
3835,200
3836,200
3837,200
3838,200
3839,200
3840,200
3841,200
3842,200
3843,200
3844,200
3845,200
3846,200
3847,200
3848,200
3849,200
3850,200
3851,200
3852,200
3853,200
3854,200
3855,200
3856,200
3857,200
3858,200
3859,200
3860,200
3861,200
3862,200
3863,200
3864,200
3865,200
3866,200
3867,200
3868,200
3869,200
3870,200
3871,200
3872,200
3873,200
3874,200
3875,200
3876,200
3877,200
3878,200
3879,200
3880,200
3881,200
3882,200
3883,200
3884,200
3885,200
3886,200
3887,200
3888,200
3889,200
3890,200
3891,200
3892,200
3893,200
3894,200
3895,200
3896,200
3897,200
3898,200
3899,200
3900,200
3901,200
3902,200
3903,200
3904,200
3905,200
3906,200
3907,200
3908,200
3909,200
3910,200
3911,200
3912,200
3913,200
3914,200
3915,200
3916,200
3917,200
3918,200
3919,200
3920,200
3921,200
3922,200
3923,200
3924,200
3925,200
3926,200
3927,200
3928,200
3929,200
3930,200
3931,200
3932,200
3933,200
3934,200
3935,200
3936,200
3937,200
3938,200
3939,200
3940,200
3941,200
3942,200
3943,200
3944,200
3945,200
3946,200
3947,200
3948,200
3949,200
3950,200
3951,200
3952,200
3953,200
3954,200
3955,200
3956,200
3957,200
3958,200
3959,200
3960,200
3961,200
3962,200
3963,200
3964,200
3965,200
3966,200
3967,200
3968,200
3969,200
3970,200
3971,200
3972,200
3973,200
3974,200
3975,200
3976,200
3977,200
3978,200
3979,200
3980,200
3981,200
3982,200
3983,200
3984,200
3985,200
3986,200
3987,200
3988,200
3989,200
3990,200
3991,200
3992,200
3993,200
3994,200
3995,200
3996,200
3997,200
3998,200
3999,200
4000,200
4001,200
4002,200
4003,200
4004,200
4005,200
4006,200
4007,200
4008,200
4009,200
4010,200
4011,200
4012,200
4013,200
4014,200
4015,200
4016,200
4017,200
4018,200
4019,200
4020,200
4021,200
4022,200
4023,200
4024,200
4025,200
4026,200
4027,200
4028,200
4029,200
4030,200
4031,200
4032,200
4033,200
4034,200
4035,200
4036,200
4037,200
4038,200
4039,200
4040,200
4041,200
4042,200
4043,200
4044,200
4045,200
4046,200
4047,200
4048,200
4049,200
4050,200
4051,200
4052,200
4053,200
4054,200
4055,200
4056,200
4057,200
4058,200
4059,200
4060,200
4061,200
4062,200
4063,200
4064,200
4065,200
4066,200
4067,200
4068,200
4069,200
4070,200
4071,200
4072,200
4073,200
4074,200
4075,200
4076,200
4077,200
4078,200
4079,200
4080,200
4081,200
4082,200
4083,200
4084,200
4085,200
4086,200
4087,200
4088,200
4089,200
4090,200
4091,200
4092,200
4093,200
4094,200
4095,200
4096,200
4097,200
4098,200
4099,200
4100,200
4101,200
4102,200
4103,200
4104,200
4105,200
4106,200
4107,200
4108,200
4109,200
4110,200
4111,200
4112,200
4113,200
4114,200
4115,200
4116,200
4117,200
4118,200
4119,200
4120,200
4121,200
4122,200
4123,200
4124,200
4125,200
4126,200
4127,200
4128,200
4129,200
4130,200
4131,200
4132,200
4133,200
4134,200
4135,200
4136,200
4137,200
4138,200
4139,200
4140,200
4141,200
4142,200
4143,200
4144,200
4145,200
4146,200
4147,200
4148,200
4149,200
4150,200
4151,200
4152,200
4153,200
4154,200
4155,200
4156,200
4157,200
4158,200
4159,200
4160,200
4161,200
4162,200
4163,200
4164,200
4165,200
4166,200
4167,200
4168,200
4169,200
4170,200
4171,200
4172,200
4173,200
4174,200
4175,200
4176,200
4177,200
4178,200
4179,200
4180,200
4181,200
4182,200
4183,200
4184,200
4185,200
4186,200
4187,200
4188,200
4189,200
4190,200
4191,200
4192,200
4193,200
4194,200
4195,200
4196,200
4197,200
4198,200
4199,200
4200,200
4201,200
4202,200
4203,200
4204,200
4205,200
4206,200
4207,200
4208,200
4209,200
4210,200
4211,200
4212,200
4213,200
4214,200
4215,200
4216,200
4217,200
4218,200
4219,200
4220,200
4221,200
4222,200
4223,200
4224,200
4225,200
4226,200
4227,200
4228,200
4229,200
4230,200
4231,200
4232,200
4233,200
4234,200
4235,200
4236,200
4237,200
4238,200
4239,200
4240,200
4241,200
4242,200
4243,200
4244,200
4245,200
4246,200
4247,200
4248,200
4249,200
4250,200
4251,200
4252,200
4253,200
4254,200
4255,200
4256,200
4257,200
4258,200
4259,200
4260,200
4261,200
4262,200
4263,200
4264,200
4265,200
4266,200
4267,200
4268,200
4269,200
4270,200
4271,200
4272,200
4273,200
4274,200
